year,state,pixel_count,sum_mapped_evi,density
2003,ND,5951,83072.0,0.21475899331721882
2003,NE,5125,62192.0,0.18669268292682928
2003,NH,678,26066.0,0.5914681189017472
2003,NJ,352,8387.0,0.36656468531468533
2003,NM,6800,-167577.0,-0.37913348416289594
2003,NV,7071,-226377.0,-0.4925361443817108
2003,NY,3452,132637.0,0.5911266601301364
2003,OH,2713,94880.0,0.5380362357878024
2003,OK,4037,46866.0,0.17860177969169794
2003,OR,7171,-36392.0,-0.07807515312744709
2003,PA,3039,115886.0,0.5866605917938593
2003,RI,47,1342.0,0.4392798690671031
2003,SC,1569,42801.0,0.419679364612443
2003,SD,5948,44398.0,0.11483627334333454
2003,TN,2662,101375.0,0.5858810610876727
2003,TX,13746,16720.0,0.018713136129111685
2003,UT,5384,-125073.0,-0.3573922734026746
2003,VA,2463,87965.0,0.549455011087167
2003,VT,816,32650.0,0.6155731523378583
2003,WA,5788,44864.0,0.11924937536547765
2003,WI,4445,145266.0,0.50278099852903
2003,WV,1766,74469.0,0.6487411795452566
2003,WY,7080,-96350.0,-0.20936549326379836
2004,AL,2412,80524.0,0.5136114300293405
2004,AR,2767,88252.0,0.4906841622418059
2004,AZ,6250,-171131.0,-0.42124553846153845
2004,CA,8333,-85321.0,-0.1575219931874198
2004,CO,6202,-24962.0,-0.06192047230421948
2004,CT,227,7713.0,0.5227380548966452
2004,DE,80,2922.0,0.561923076923077
2004,FL,1703,27894.0,0.25198970143186233
2004,GA,3098,89686.0,0.44537915280329743
2004,IA,3719,136258.0,0.5636668252425177
2004,ID,5766,-10632.0,-0.028367886016169054
2004,IL,3405,131735.0,0.5952106630520727
2004,IN,2269,90317.0,0.6123809200935688
2004,KS,4775,54726.0,0.17632219089810713
2004,KY,2339,96191.0,0.6326898411549972
2004,LA,1623,37906.0,0.3593156073747571
2004,MA,461,16428.0,0.5482396128816953
2004,MD,498,15052.0,0.46499845535990114
2004,ME,2434,81512.0,0.5152139561342519
2004,MI,4500,124281.0,0.4248923076923077
2004,MN,6599,173489.0,0.4044645459102195
2004,MO,4490,158835.0,0.5442350522528696
2004,MS,2460,78054.0,0.48814258911819886
2004,MT,12045,-51103.0,-0.06527189705271898
2004,NC,2353,78562.0,0.5136617738402693
2004,ND,5937,70383.0,0.1823842655575854
2004,NE,5133,64309.0,0.1927467817590553
2004,NH,686,26459.0,0.5933841668535547
2004,NJ,356,9738.0,0.42082973206568713
2004,NM,6759,-131274.0,-0.29880159786950733
2004,NV,7085,-226713.0,-0.49229249226426364
2004,NY,3437,134685.0,0.6028737047066985
2004,OH,2736,102547.0,0.5766250562303193
2004,OK,4006,64106.0,0.24619225008640885
2004,OR,7174,-29591.0,-0.06345778559327486
2004,PA,3027,123818.0,0.6293003989733424
2004,RI,53,1861.0,0.5402031930333817
2004,SC,1562,43771.0,0.43111395646606915
2004,SD,5952,35355.0,0.09138492555831265
2004,TN,2650,105625.0,0.6132075471698113
2004,TX,13686,60397.0,0.06789307433761621
2004,UT,5403,-119323.0,-0.33976280983499196
2004,VA,2489,97019.0,0.5996785857774206
2004,VT,820,32604.0,0.6117073170731707
2004,WA,5782,41084.0,0.10931538195460713
2004,WI,4453,144761.0,0.5001330131803969
2004,WV,1744,79936.0,0.70515172900494
2004,WY,7052,-109741.0,-0.2394105327457568
2005,AL,2373,76813.0,0.49799345197575284
2005,AR,2758,85936.0,0.4793663189602276
2005,AZ,6248,-131783.0,-0.32449276076036637
2005,CA,8272,-57827.0,-0.10754909983633387
2005,CO,6237,-32473.0,-0.08010014676681343
2005,CT,239,7837.0,0.5044737689089154
2005,DE,87,2991.0,0.5289124668435013
2005,FL,1734,27690.0,0.24567474048442905
2005,GA,3098,91280.0,0.45329492973134033
2005,IA,3702,139595.0,0.580123010430952
2005,ID,5704,1235.0,0.0033309957924263674
2005,IL,3375,122090.0,0.5565356125356126
2005,IN,2260,88939.0,0.6054390742001361
2005,KS,4794,44623.0,0.1432014376945541
2005,KY,2321,91732.0,0.6080403009312962
2005,LA,1637,40506.0,0.38067759973685444
2005,MA,463,16144.0,0.5364346236916431
2005,MD,506,14493.0,0.440650653694132
2005,ME,2447,85005.0,0.5344377730973563
2005,MI,4515,132070.0,0.45002129653292444
2005,MN,6582,192071.0,0.4489423369095201
2005,MO,4514,140090.0,0.47745475614328076
2005,MS,2506,80193.0,0.49231383141997664
2005,MT,11959,-12716.0,-0.016358455492162322
2005,NC,2384,76426.0,0.4931982447083118
2005,ND,5938,92653.0,0.24005233567375703
2005,NE,5140,74335.0,0.22249326548937443
2005,NH,689,27108.0,0.6052919504298314
2005,NJ,356,9388.0,0.40570440795159896
2005,NM,6760,-125057.0,-0.28460855712335004
2005,NV,7067,-181585.0,-0.39530428535664136
2005,NY,3405,131192.0,0.5927572574268609
